model,accuracy,f1,train_time_s,infer_time_s,roc_auc
"QSVM (ZFeatureMap, reps=3, 6q)",0.6066666666666667,0.5653777529497402,41.48,82.43,0.5884146341463415
Classical SVM (rbf),0.6533333333333333,0.6540740740740741,0.0,,0.6459827833572453
