iter	Logloss
0	0.68893057
1	0.6834322922
2	0.6790528231
3	0.6746782133
4	0.6701261241
5	0.6661305093
6	0.6628042176
7	0.6609182104
8	0.6586098243
9	0.6554219115
10	0.6531241738
11	0.6502902124
12	0.6479513211
13	0.6464808855
14	0.6445556827
15	0.6426386113
16	0.6411697135
17	0.6397278576
18	0.6380564268
19	0.6366681513
20	0.6356812109
21	0.6339417357
22	0.632829994
23	0.6321585824
24	0.6304591327
25	0.6296850825
26	0.6282115167
27	0.6268240126
28	0.6262179894
29	0.6251087811
30	0.6240153352
31	0.6235870725
32	0.6221573827
33	0.6212971559
34	0.6203259385
35	0.619571202
36	0.6188802897
37	0.6176458665
38	0.6167856255
39	0.6162055521
40	0.6161508764
41	0.6154292141
42	0.6150087954
43	0.6145318559
44	0.6143873874
45	0.614098566
46	0.6134721243
47	0.612689395
48	0.6122375128
49	0.6115464301
50	0.6114178478
51	0.6110725919
52	0.6109044199
53	0.6101594488
54	0.6098331071
55	0.60957915
56	0.6084476334
57	0.6084291424
58	0.6080997056
59	0.6078335326
60	0.6076562476
61	0.6075865859
62	0.607485824
63	0.6072062076
64	0.6066152613
65	0.606321242
66	0.6061254397
67	0.6055401149
68	0.6052514666
69	0.6052256163
70	0.6050303709
71	0.6048268225
72	0.6048040967
73	0.6046631971
74	0.6040193906
75	0.6039209842
76	0.6034722532
77	0.6033113714
78	0.6025128439
79	0.6022317105
80	0.6022042959
81	0.6019228664
82	0.6016956618
83	0.6013789079
84	0.6013048699
85	0.6013033165
86	0.6008797472
87	0.6007051716
88	0.5998090425
89	0.5994434562
90	0.5991387305
91	0.5988427361
92	0.598676209
93	0.5982420756
94	0.5981794027
95	0.5980187346
96	0.5974148159
97	0.5970940628
98	0.5968688134
99	0.5965781291
100	0.5962599362
101	0.5957961687
102	0.595671212
103	0.5956255848
104	0.5950442151
105	0.594734747
106	0.5943912974
107	0.5938620923
108	0.5937787167
109	0.5934210772
110	0.5933999819
111	0.5930322473
112	0.5928691513
113	0.5924019747
114	0.5923022413
115	0.5922681951
116	0.5922378247
117	0.5921442019
118	0.5914833162
119	0.5909211907
120	0.590682694
121	0.5902704405
122	0.5902158628
123	0.5901879026
124	0.5899257024
125	0.5897579723
126	0.5894767304
127	0.5894652395
128	0.5888139324
129	0.5885443292
130	0.5885294891
131	0.5874860036
132	0.5872752323
133	0.587257737
134	0.58695373
135	0.5867907249
136	0.5864531813
137	0.5860904646
138	0.5858680356
139	0.5857187221
140	0.5857049009
141	0.5850910762
142	0.5847319736
143	0.5846124447
144	0.5841722254
145	0.5837562812
146	0.5835656917
147	0.5835656913
148	0.5834517768
149	0.5832174798
150	0.5830599276
151	0.5828971036
152	0.5825800635
153	0.5822848371
154	0.5819647905
155	0.5815311183
156	0.5813617481
157	0.5810940606
158	0.5805731067
159	0.5805470646
160	0.5803246322
161	0.5798751693
162	0.5797718794
163	0.5790756301
164	0.5788398948
165	0.5785592284
166	0.5783662556
167	0.5782160035
168	0.5773545719
169	0.576746495
170	0.576434144
171	0.5760591611
172	0.5758024284
173	0.5751342361
174	0.5748731763
175	0.574569859
176	0.5741390108
177	0.5739404413
178	0.5736048071
179	0.5730710566
180	0.5723593019
181	0.5720987734
182	0.5720566039
183	0.5715473177
184	0.5712972169
185	0.5706798181
186	0.5701814774
187	0.5699471367
188	0.5692665024
189	0.5685860526
190	0.5681550993
191	0.5678591277
192	0.5676313019
193	0.5666582505
194	0.5660952593
195	0.5656133493
196	0.5654137655
197	0.565089621
198	0.5644872722
199	0.5640460364
200	0.5634712744
201	0.5632171328
202	0.5629936922
203	0.5623983429
204	0.5620280961
205	0.5619076542
206	0.5617322577
207	0.5613908934
208	0.5608741254
209	0.5605054366
210	0.5600213664
211	0.5595679426
212	0.5589830352
213	0.5584825963
214	0.5579072648
215	0.5571814831
216	0.5570794881
217	0.5564309748
218	0.5561617147
219	0.5556141701
220	0.5555484474
221	0.5553094758
222	0.555070436
223	0.5546517203
224	0.5541440163
225	0.5539829908
226	0.5535906248
227	0.5531781864
228	0.5529826045
229	0.5523124985
230	0.5519204485
231	0.5517853606
232	0.5517059512
233	0.5513734586
234	0.5511805664
235	0.5509595683
236	0.55042818
237	0.5498665674
238	0.5496923225
239	0.5496445655
240	0.5493700358
241	0.548777606
242	0.5483543882
243	0.5481445519
244	0.5478270787
245	0.5472912178
246	0.546914567
247	0.5461792125
248	0.545846263
249	0.5456488548
250	0.5450427917
251	0.5445206935
252	0.5442613444
253	0.544169806
254	0.5438387095
255	0.5434377211
256	0.5427387703
257	0.542624448
258	0.5423543583
259	0.5420179187
260	0.5415436618
261	0.5410470124
262	0.5404008209
263	0.5400652844
264	0.5394062317
265	0.5392306583
266	0.539152574
267	0.5386416276
268	0.5383648942
269	0.5382716974
270	0.5378075419
271	0.5373524709
272	0.5368959586
273	0.5366082761
274	0.5365199354
275	0.5362043333
276	0.5358562546
277	0.5356939151
278	0.5354600025
279	0.5350752767
280	0.5346736871
281	0.5341265321
282	0.5334657524
283	0.5332887188
284	0.5328928483
285	0.5325937622
286	0.5320871426
287	0.5318389193
288	0.5315365097
289	0.5307917928
290	0.5306774863
291	0.5301512729
292	0.5299320844
293	0.5297185194
294	0.5291672047
295	0.5289950629
296	0.5287886804
297	0.5285827612
298	0.5281422366
299	0.5275135633
300	0.5273295822
301	0.5269943232
302	0.5264112264
303	0.5261702972
304	0.5261255136
305	0.5258236482
306	0.5256721146
307	0.5250556573
308	0.5249053258
309	0.5247553566
310	0.5242685973
311	0.5238087086
312	0.5236776227
313	0.5236208385
314	0.5231443481
315	0.5226218673
316	0.5221609605
317	0.5218405234
318	0.5215532728
319	0.5214467337
320	0.5211292607
321	0.5206987909
322	0.5203426101
323	0.5199143899
324	0.5196274939
325	0.5192066032
326	0.5190803884
327	0.5188037146
328	0.5183409448
329	0.5182662594
330	0.517736727
331	0.5174924414
332	0.5173178725
333	0.5170316766
334	0.5167239866
335	0.5162253025
336	0.5158133075
337	0.5152085073
338	0.5149401306
339	0.5148312502
340	0.5143361242
341	0.5140415477
342	0.5138928691
343	0.5134046452
344	0.513283796
345	0.5132084122
346	0.5125438729
347	0.5124606016
348	0.5122822599
349	0.5119160024
350	0.5114678907
351	0.5111521824
352	0.5108488431
353	0.5106086513
354	0.5105233042
355	0.510088731
356	0.5098341426
357	0.5094057285
358	0.5092085457
359	0.5089231924
360	0.5088382603
361	0.50840785
362	0.5083368856
363	0.5081438142
364	0.5078984969
365	0.5078303676
366	0.507451401
367	0.5073411875
368	0.507093525
369	0.5068072816
370	0.5067430216
371	0.5065668999
372	0.5062773252
373	0.5056614412
374	0.5052316306
375	0.504874816
376	0.5045330874
377	0.5043084745
378	0.5042176037
379	0.5038698044
380	0.5037514325
381	0.5034606149
382	0.5033515506
383	0.5030538714
384	0.5029835195
385	0.502916845
386	0.5025663371
387	0.5024496517
388	0.5023324886
389	0.501968678
390	0.5016192112
391	0.5011067574
392	0.5005977032
393	0.5005178499
394	0.5004551429
395	0.500235585
396	0.4998290911
397	0.4997174904
398	0.4994378334
399	0.4993417449
400	0.4991151318
401	0.4989121342
402	0.498796582
403	0.4986958484
404	0.4980395404
405	0.497609276
406	0.4972301489
407	0.4970284084
408	0.4965227202
409	0.4961371466
410	0.4960841845
411	0.4958478807
412	0.4958162435
413	0.4953730166
414	0.4951183444
415	0.494911237
416	0.4947687184
417	0.4945134321
418	0.494176662
419	0.4936847988
420	0.4932035847
421	0.4931114372
422	0.4930283598
423	0.4929728354
424	0.4927142342
425	0.4922992749
426	0.491957167
427	0.4915597032
428	0.4910958312
429	0.4908414708
430	0.490786337
431	0.4905067905
432	0.4899324945
433	0.4898443407
434	0.4896418003
435	0.4894319527
436	0.488901061
437	0.4885136269
438	0.488319878
439	0.4881442978
440	0.4876999959
441	0.4874428489
442	0.4872696714
443	0.4870670842
444	0.4866176228
445	0.4865523425
446	0.4864919963
447	0.4862455236
448	0.4861696169
449	0.4858566461
450	0.4855986546
451	0.4854071106
452	0.48518148
453	0.4848153638
454	0.4844310165
455	0.4840215454
456	0.4838039061
457	0.483419468
458	0.4829536071
459	0.4826970223
460	0.4824126458
461	0.4822464721
462	0.4821038868
463	0.4818341436
464	0.4814603269
465	0.4809993957
466	0.4805075896
467	0.4801933763
468	0.4799400945
469	0.4797542685
470	0.4794687452
471	0.4793762636
472	0.4792040203
473	0.4788454894
474	0.478650642
475	0.4781798349
476	0.4779239765
477	0.4777167473
478	0.4772624785
479	0.4772195775
480	0.4769305328
481	0.4768513283
482	0.4764242472
483	0.4763888548
484	0.4761968843
485	0.4759888585
486	0.475752232
487	0.4754493154
488	0.4752655079
489	0.4748671317
490	0.4747189953
491	0.4745113056
492	0.4742416811
493	0.4738203274
494	0.4737315493
495	0.4733344925
496	0.472803198
497	0.4726792276
498	0.472514458
499	0.4723501514
500	0.4720554084
501	0.4719850673
502	0.4716248273
503	0.4713992297
504	0.4711636884
505	0.4705905947
506	0.4703982288
507	0.4703327263
508	0.4700839793
509	0.4697495718
510	0.4696947179
511	0.4694016744
512	0.4690950431
513	0.4690127058
514	0.4686719647
515	0.4681062699
516	0.4678262539
517	0.4675566166
518	0.4674372597
519	0.4674237333
520	0.4671042681
521	0.4669604298
522	0.4666921231
523	0.4664386493
524	0.4660511001
525	0.4659519838
526	0.4657922034
527	0.465590508
528	0.465275724
529	0.4650021787
530	0.464599027
531	0.4644427322
532	0.4640255065
533	0.4634424422
534	0.4631572326
535	0.4628577512
536	0.4625195808
537	0.4621964518
538	0.4617465623
539	0.4614654947
540	0.4611610266
541	0.4607622865
542	0.4605944551
543	0.4603684236
544	0.4603129117
545	0.4601004733
546	0.4599825664
547	0.4598378449
548	0.4597093098
549	0.4594712666
550	0.4592510176
551	0.4590256553
552	0.4588131899
553	0.4585894031
554	0.4583400286
555	0.458168079
556	0.4579573603
557	0.4578338563
558	0.4576219125
559	0.457307183
560	0.4571561874
561	0.4569546867
562	0.4568414382
563	0.4565240663
564	0.4563130178
565	0.456250297
566	0.4561997991
567	0.4560134612
568	0.455860876
569	0.4556380814
570	0.4554187802
571	0.455276064
572	0.4550009738
573	0.4548612548
574	0.4548077498
575	0.4546621571
576	0.4543867959
577	0.4542777358
578	0.4540901069
579	0.4538266663
580	0.4537168204
581	0.4536461695
582	0.4534380938
583	0.452960564
584	0.4527784179
585	0.4526980151
586	0.4523981371
587	0.4523209848
588	0.4518962271
589	0.4517947618
590	0.4516030271
591	0.4513049375
592	0.4509119691
593	0.4505785748
594	0.4505060388
595	0.4501772786
596	0.4498400792
597	0.4495087009
598	0.4494255428
599	0.4491479915
600	0.4490193904
601	0.4489190006
602	0.4484727168
603	0.4481609454
604	0.447857073
605	0.4476834419
606	0.4475889283
607	0.4473167523
608	0.4471579538
609	0.4469707988
610	0.4466368585
611	0.4463021283
612	0.4461028479
613	0.4458208186
614	0.4456607486
615	0.4453010066
616	0.4452463077
617	0.444960168
618	0.4447833231
619	0.4445845315
620	0.4443595872
621	0.4438519974
622	0.4434168325
623	0.4432854911
624	0.4429195894
625	0.4427259557
626	0.4423570574
627	0.4420621404
628	0.4417914163
629	0.4415418322
630	0.4414123687
631	0.4411665534
632	0.4408612244
633	0.4406647425
634	0.4405236403
635	0.4402753
636	0.4400827599
637	0.440033218
638	0.4397428751
639	0.4396857951
640	0.4396024027
641	0.4393200153
642	0.4392537968
643	0.4391710677
644	0.4390131619
645	0.4387702389
646	0.438395089
647	0.4380951673
648	0.4377754397
649	0.4376588854
650	0.4375663572
651	0.4374774035
652	0.4372986686
653	0.4370648749
654	0.4367820324
655	0.4367405721
656	0.4365992696
657	0.4363741841
658	0.4363054532
659	0.4362883525
660	0.4357834495
661	0.4355221196
662	0.4354103814
663	0.4349862639
664	0.4349331297
665	0.4347653492
666	0.434568314
667	0.4343228157
668	0.4340597603
669	0.4339078553
670	0.4333802846
671	0.4332657422
672	0.4331751424
673	0.4329359116
674	0.4327636523
675	0.4324083806
676	0.4321972311
677	0.4319967749
678	0.4318727808
679	0.4317914902
680	0.4313471165
681	0.431078569
682	0.4309693424
683	0.4307643597
684	0.4306186418
685	0.4305228826
686	0.4301893442
687	0.4298175776
688	0.4297084785
689	0.4293499276
690	0.4290344839
691	0.428883111
692	0.428664295
693	0.4284616449
694	0.4280800185
695	0.4279371913
696	0.4277544788
697	0.4272076877
698	0.4269874452
699	0.4269133179
